年度,選舉種類,選舉種類名稱,admin_code_system,省市,縣市,選舉區,選舉區_語意,鄉鎮市區,村里,行政區名稱,縣市_正規化,鄉鎮市區_正規化,號次,姓名,政黨代號,政黨名稱,性別,年齡,年齡_原始,現任,當選註記,當選註記語意,當選,當選_依據
1995,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,章仁香,1,中國國民黨,2,,99,N,*,當選,Y,elctks_檔別合計
1995,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,王清堅,99,無,1,,99,N,,未當選,N,elctks_檔別合計
1995,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,莊金生,1,中國國民黨,1,,99,Y,*,當選,Y,elctks_檔別合計
1995,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,林榮元,2,民主進步黨,1,,99,N,,未當選,N,elctks_檔別合計
1995,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,高巍和,1,中國國民黨,1,,99,Y,,未當選,N,elctks_檔別合計
1995,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,連飛雄,99,無,1,,99,N,,未當選,N,elctks_檔別合計
1995,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,7,蔡中涵,1,中國國民黨,1,,99,Y,*,當選,Y,elctks_檔別合計
1995,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,8,馬賢生,99,無,1,,99,N,,未當選,N,elctks_檔別合計
1995,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,9,李景崇,99,無,1,,99,N,,未當選,N,elctks_檔別合計
1995,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,溫梅桂,5,新黨,2,,99,N,,未當選,N,elctks_檔別合計
1995,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,林建二,1,中國國民黨,1,,99,N,,未當選,N,elctks_檔別合計
1995,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,高揚昇,1,中國國民黨,1,,99,N,*,當選,Y,elctks_檔別合計
1995,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,鍾思錦,2,民主進步黨,1,,99,N,,未當選,N,elctks_檔別合計
1995,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,瓦歷斯．貝林,1,中國國民黨,1,,99,Y,*,當選,Y,elctks_檔別合計
1995,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,林清良,1,中國國民黨,1,,99,N,,未當選,N,elctks_檔別合計
1995,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,7,翁文德,8,中國台灣原住民黨,1,,99,N,,未當選,N,elctks_檔別合計
1995,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,8,全文盛,1,中國國民黨,1,,99,N,*,當選,Y,elctks_檔別合計
1995,L3,立法委員(山地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,9,馬賴．古麥,1,中國國民黨,1,,99,Y,,未當選,N,elctks_檔別合計
1998,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,莊金生,1,中國國民黨,1,,99,Y,,未當選,N,elctks_檔別合計
1998,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,章仁香,1,中國國民黨,2,,99,Y,*,當選,Y,elctks_檔別合計
1998,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,楊仁福,1,中國國民黨,1,,99,N,*,當選,Y,elctks_檔別合計
1998,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,林正二,1,中國國民黨,1,,99,N,*,當選,Y,elctks_檔別合計
1998,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,馬耀‧谷木,2,民主進步黨,1,,99,N,,未當選,N,elctks_檔別合計
1998,L2,立法委員(平地原住民)選舉,1995-2008,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,蔡中涵,9,全國民主非政黨聯盟,1,,99,Y,*,當選,Y,elctks_檔別合計
