屆別,政黨代號,政黨名稱,第一階段得票率,第二階段得票率,候選人數,當選人數
2008,1,中國國民黨,51.2322,58.1238,34,20
2008,16,民主進步黨,36.9110,41.8762,33,14
2008,30,民主自由黨,0.0000,0.0000,0,0
2008,73,公民黨,0.4927,0.0000,4,0
2008,74,新黨,3.9533,0.0000,10,0
2008,79,綠黨,0.5978,0.0000,4,0
2008,90,親民黨,0.0000,0.0000,0,0
2008,95,台灣團結聯盟,3.5262,0.0000,15,0
2008,102,洪運忠義黨,0.0000,0.0000,0,0
2008,103,世界和平黨,0.0000,0.0000,0,0
2008,106,無黨團結聯盟,0.7006,0.0000,2,0
2008,121,客家黨,0.4295,0.0000,3,0
2008,128,台灣農民黨,0.5843,0.0000,8,0
2008,130,第三社會黨,0.4662,0.0000,5,0
2008,132,大道慈悲濟世黨,0.0000,0.0000,0,0
2008,133,紅黨,0.7962,0.0000,7,0
2008,134,制憲聯盟,0.3100,0.0000,3,0
2008,999,無黨籍及未經政黨推薦,0.0000,0.0000,0,0
2012,1,中國國民黨,44.5468,47.5893,34,16
2012,16,民主進步黨,34.6178,36.9822,33,13
2012,74,新黨,1.4888,0.0000,6,0
2012,79,綠黨,1.7441,0.0000,2,0
2012,90,親民黨,5.4861,5.8608,18,2
2012,95,台灣團結聯盟,8.9560,9.5677,10,3
2012,106,無黨團結聯盟,0.0000,0.0000,0,0
2012,133,台灣國民會議,0.9013,0.0000,5,0
2012,153,人民最大黨,0.6444,0.0000,2,0
2012,166,台灣主義黨,0.2271,0.0000,8,0
2012,187,中華台商愛國黨,0.0000,0.0000,0,0
2012,188,正黨,0.0000,0.0000,0,0
2012,189,健保免費連線,1.2410,0.0000,3,0
2012,195,中華民國臺灣基本法連線,0.1464,0.0000,6,0
2012,199,人民民主陣線,0.0000,0.0000,0,0
2012,999,無黨籍及未經政黨推薦,0.0000,0.0000,0,0
2016,1,中國國民黨,26.9148,32.1944,33,11
2016,16,民主進步黨,44.0598,52.7026,34,18
2016,74,新黨,4.1843,0.0000,10,0
2016,90,親民黨,6.5203,7.7994,16,3
2016,95,台灣團結聯盟,2.5076,0.0000,15,0
2016,101,台灣工黨,0.0000,0.0000,0,0
2016,106,無黨團結聯盟,0.6372,0.0000,7,0
2016,113,中華統一促進黨,0.4622,0.0000,10,0
2016,134,大愛憲改聯盟,0.1267,0.0000,6,0
2016,188,正黨,0.0000,0.0000,0,0
2016,189,健保免費連線,0.4186,0.0000,3,0
2016,199,人民民主陣線,0.0000,0.0000,0,0
2016,234,台灣第一民族黨,0.0000,0.0000,0,0
2016,251,中國生產黨,0.0000,0.0000,0,0
2016,255,勞工黨,0.0000,0.0000,0,0
2016,256,中華民國機車黨,0.0000,0.0000,0,0
2016,258,軍公教聯盟黨,0.7154,0.0000,5,0
2016,259,樹黨,0.6331,0.0000,2,0
2016,266,和平鴿聯盟黨,0.2512,0.0000,3,0
2016,267,時代力量,6.1059,7.3036,6,2
2016,268,民國黨,1.6212,0.0000,10,0
2016,272,自由台灣黨,0.3937,0.0000,6,0
2016,273,台灣獨立黨,0.2256,0.0000,1,0
2016,277,社會福利黨,0.0000,0.0000,0,0
2016,278,泛盟黨,0.0000,0.0000,0,0
2016,279,台灣未來黨,0.0000,0.0000,0,0
2016,281,綠黨社會民主黨聯盟,2.5275,0.0000,6,0
2016,283,信心希望聯盟,1.6951,0.0000,6,0
2016,999,無黨籍及未經政黨推薦,0.0000,0.0000,0,0
2020,1,中國國民黨,33.3578,38.6487,31,13
2020,15,勞動黨,0.1408,0.0000,2,0
2020,16,民主進步黨,33.9774,39.3665,33,13
2020,74,新黨,1.0408,0.0000,10,0
2020,79,綠黨,2.4115,0.0000,6,0
2020,90,親民黨,3.6647,0.0000,22,0
2020,95,台灣團結聯盟,0.3562,0.0000,7,0
2020,113,中華統一促進黨,0.2328,0.0000,7,0
2020,267,時代力量,7.7549,8.9849,11,3
2020,303,台灣基進,3.1588,0.0000,6,0
2020,319,宗教聯盟,0.2198,0.0000,8,0
2020,341,國會政黨聯盟,0.2848,0.0000,6,0
2020,342,合一行動聯盟,0.1237,0.0000,8,0
2020,346,安定力量,0.6678,0.0000,10,0
2020,348,喜樂島聯盟,0.2071,0.0000,6,0
2020,350,台灣民眾黨,11.2203,12.9999,28,5
2020,352,一邊一國行動黨,1.0142,0.0000,5,0
2020,355,台澎黨,0.0825,0.0000,4,0
2020,356,台灣維新,0.0844,0.0000,6,0
2024,1,中國國民黨,34.5842,37.2604,34,13
2024,16,民主進步黨,36.1629,38.9612,34,13
2024,74,新黨,0.2924,0.0000,8,0
2024,79,台灣綠黨,0.8514,0.0000,8,0
2024,90,親民黨,0.5068,0.0000,10,0
2024,95,台灣團結聯盟,0.3148,0.0000,6,0
2024,113,中華統一促進黨,0.1265,0.0000,4,0
2024,153,人民最大黨,0.0853,0.0000,2,0
2024,195,制度救世島,0.1427,0.0000,5,0
2024,267,時代力量,2.5653,0.0000,8,0
2024,303,台灣基進,0.6901,0.0000,7,0
2024,350,台灣民眾黨,22.0706,23.7785,34,8
2024,356,台灣維新,0.0748,0.0000,3,0
2024,357,小民參政歐巴桑聯盟,0.9336,0.0000,3,0
2024,366,臺灣雙語無法黨,0.3256,0.0000,2,0
2024,382,司法改革黨,0.2730,0.0000,9,0
