屆別,門檻,政黨代號,政黨名稱,所數,涵蓋原住民選舉人,涵蓋率,p_加權,q_加權,有效政黨票,觀察_得票數,觀察_得票率,下界_原住民得票率,上界_原住民得票率
2008,0.95,1,中國國民黨,60,26025,0.0805547989,0.9650326313,0.9813404679,13662,11775,0.8618796662,0.8592534005,0.8782677312
2008,0.95,16,民主進步黨,60,26025,0.0805547989,0.9650326313,0.9813404679,13662,1010,0.0739276826,0.0563190374,0.0753333680
2008,0.95,95,台灣團結聯盟,60,26025,0.0805547989,0.9650326313,0.9813404679,13662,204,0.0149319280,0.0000000000,0.0152158486
2008,0.95,74,新黨,60,26025,0.0805547989,0.9650326313,0.9813404679,13662,167,0.0122236861,0.0000000000,0.0124561113
2008,0.95,106,無黨團結聯盟,60,26025,0.0805547989,0.9650326313,0.9813404679,13662,114,0.0083443127,0.0000000000,0.0085029742
2008,0.95,128,台灣農民黨,60,26025,0.0805547989,0.9650326313,0.9813404679,13662,86,0.0062948324,0.0000000000,0.0064145244
2008,0.95,134,制憲聯盟,60,26025,0.0805547989,0.9650326313,0.9813404679,13662,83,0.0060752452,0.0000000000,0.0061907619
2008,0.95,133,紅黨,60,26025,0.0805547989,0.9650326313,0.9813404679,13662,70,0.0051237008,0.0000000000,0.0052211245
2008,0.95,130,第三社會黨,60,26025,0.0805547989,0.9650326313,0.9813404679,13662,61,0.0044649392,0.0000000000,0.0045498371
2008,0.95,79,綠黨,60,26025,0.0805547989,0.9650326313,0.9813404679,13662,43,0.0031474162,0.0000000000,0.0032072622
2008,0.95,73,公民黨,60,26025,0.0805547989,0.9650326313,0.9813404679,13662,40,0.0029278290,0.0000000000,0.0029834997
2008,0.95,121,客家黨,60,26025,0.0805547989,0.9650326313,0.9813404679,13662,9,0.0006587615,0.0000000000,0.0006712874
2008,0.90,1,中國國民黨,155,75921,0.2349971523,0.9403029440,0.9726149865,39902,34361,0.8611347802,0.8572248817,0.8853809495
2008,0.90,16,民主進步黨,155,75921,0.2349971523,0.9403029440,0.9726149865,39902,2800,0.0701719212,0.0439916188,0.0721476866
2008,0.90,95,台灣團結聯盟,155,75921,0.2349971523,0.9403029440,0.9726149865,39902,613,0.0153626385,0.0000000000,0.0157951900
2008,0.90,74,新黨,155,75921,0.2349971523,0.9403029440,0.9726149865,39902,564,0.0141346298,0.0000000000,0.0145326054
2008,0.90,106,無黨團結聯盟,155,75921,0.2349971523,0.9403029440,0.9726149865,39902,429,0.0107513408,0.0000000000,0.0110540563
2008,0.90,133,紅黨,155,75921,0.2349971523,0.9403029440,0.9726149865,39902,218,0.0054633853,0.0000000000,0.0056172127
2008,0.90,134,制憲聯盟,155,75921,0.2349971523,0.9403029440,0.9726149865,39902,217,0.0054383239,0.0000000000,0.0055914457
2008,0.90,128,台灣農民黨,155,75921,0.2349971523,0.9403029440,0.9726149865,39902,190,0.0047616661,0.0000000000,0.0048957359
2008,0.90,130,第三社會黨,155,75921,0.2349971523,0.9403029440,0.9726149865,39902,158,0.0039597013,0.0000000000,0.0040711909
2008,0.90,73,公民黨,155,75921,0.2349971523,0.9403029440,0.9726149865,39902,155,0.0038845171,0.0000000000,0.0039938898
2008,0.90,79,綠黨,155,75921,0.2349971523,0.9403029440,0.9726149865,39902,125,0.0031326751,0.0000000000,0.0032208789
2008,0.90,121,客家黨,155,75921,0.2349971523,0.9403029440,0.9726149865,39902,72,0.0018044208,0.0000000000,0.0018552262
2008,0.80,1,中國國民黨,219,108262,0.3351017730,0.9139967412,0.9480889997,57132,48952,0.8568227963,0.8489833721,0.9037366710
2008,0.80,16,民主進步黨,219,108262,0.3351017730,0.9139967412,0.9480889997,57132,4165,0.0729013513,0.0221396419,0.0768929407
2008,0.80,95,台灣團結聯盟,219,108262,0.3351017730,0.9139967412,0.9480889997,57132,906,0.0158580130,0.0000000000,0.0167262915
2008,0.80,74,新黨,219,108262,0.3351017730,0.9139967412,0.9480889997,57132,792,0.0138626339,0.0000000000,0.0146216588
2008,0.80,106,無黨團結聯盟,219,108262,0.3351017730,0.9139967412,0.9480889997,57132,603,0.0105545054,0.0000000000,0.0111323993
2008,0.80,134,制憲聯盟,219,108262,0.3351017730,0.9139967412,0.9480889997,57132,355,0.0062136806,0.0000000000,0.0065539001
2008,0.80,133,紅黨,219,108262,0.3351017730,0.9139967412,0.9480889997,57132,336,0.0058811174,0.0000000000,0.0062031280
2008,0.80,128,台灣農民黨,219,108262,0.3351017730,0.9139967412,0.9480889997,57132,284,0.0049709445,0.0000000000,0.0052431201
2008,0.80,73,公民黨,219,108262,0.3351017730,0.9139967412,0.9480889997,57132,235,0.0041132815,0.0000000000,0.0043384973
2008,0.80,130,第三社會黨,219,108262,0.3351017730,0.9139967412,0.9480889997,57132,218,0.0038157250,0.0000000000,0.0040246485
2008,0.80,79,綠黨,219,108262,0.3351017730,0.9139967412,0.9480889997,57132,189,0.0033081285,0.0000000000,0.0034892595
2008,0.80,121,客家黨,219,108262,0.3351017730,0.9139967412,0.9480889997,57132,97,0.0016978226,0.0000000000,0.0017907840
2012,0.95,1,中國國民黨,71,33154,0.0934057575,0.9659693491,0.9703786691,21156,16990,0.8030818680,0.7970708361,0.8275963741
2012,0.95,16,民主進步黨,71,33154,0.0934057575,0.9659693491,0.9703786691,21156,1746,0.0825297788,0.0545235067,0.0850490447
2012,0.95,90,親民黨,71,33154,0.0934057575,0.9659693491,0.9703786691,21156,988,0.0467006996,0.0176007255,0.0481262635
2012,0.95,95,台灣團結聯盟,71,33154,0.0934057575,0.9659693491,0.9703786691,21156,309,0.0146057856,0.0000000000,0.0150516351
2012,0.95,79,綠黨,71,33154,0.0934057575,0.9659693491,0.9703786691,21156,274,0.0129514086,0.0000000000,0.0133467573
2012,0.95,153,人民最大黨,71,33154,0.0934057575,0.9659693491,0.9703786691,21156,247,0.0116751749,0.0000000000,0.0120315659
2012,0.95,133,台灣國民會議,71,33154,0.0934057575,0.9659693491,0.9703786691,21156,191,0.0090281717,0.0000000000,0.0093037615
2012,0.95,74,新黨,71,33154,0.0934057575,0.9659693491,0.9703786691,21156,174,0.0082246171,0.0000000000,0.0084756780
2012,0.95,189,健保免費連線,71,33154,0.0934057575,0.9659693491,0.9703786691,21156,170,0.0080355455,0.0000000000,0.0082808348
2012,0.95,166,台灣主義黨,71,33154,0.0934057575,0.9659693491,0.9703786691,21156,40,0.0018907166,0.0000000000,0.0019484317
2012,0.95,195,中華民國臺灣基本法連線,71,33154,0.0934057575,0.9659693491,0.9703786691,21156,27,0.0012762337,0.0000000000,0.0013151914
2012,0.90,1,中國國民黨,161,80626,0.2271500454,0.9438220661,0.9496169281,52045,40785,0.7836487655,0.7721699897,0.8252261962
2012,0.90,16,民主進步黨,161,80626,0.2271500454,0.9438220661,0.9496169281,52045,4399,0.0845230089,0.0359512726,0.0890074792
