year,election_type,county_name,local_code,regional_code
1998,T2,嘉義縣,01005,01010
1998,T2,基隆市,01010,01017
1998,T2,屏東縣,01007,01013
1998,T2,桃園縣,01002,01003
1998,T2,臺中縣,01004,01006
1998,T2,臺東縣,01008,01014
1998,T2,花蓮縣,01009,01015
1998,T2,苗栗縣,01003,01005
1998,T2,高雄縣,01006,01012
1998,T3,南投縣,01007,01008
1998,T3,嘉義縣,01008,01010
1998,T3,屏東縣,01010,01013
1998,T3,臺東縣,01011,01014
1998,T3,花蓮縣,01012,01015
1998,T3,高雄縣,01009,01012
2002,T2,基隆市,01010,01017
2002,T2,屏東縣,01007,01013
2002,T2,彰化縣,01005,01007
2002,T2,桃園縣,01002,01003
2002,T2,臺中市,01011,01019
2002,T2,臺中縣,01004,01006
2002,T2,臺東縣,01008,01014
2002,T2,花蓮縣,01009,01015
2002,T2,苗栗縣,01003,01005
2002,T2,高雄縣,01006,01012
2002,T3,南投縣,01007,01008
2002,T3,嘉義縣,01008,01010
2002,T3,屏東縣,01010,01013
2002,T3,臺東縣,01011,01014
2002,T3,花蓮縣,01012,01015
2002,T3,高雄縣,01009,01012
1998,D1-MT,臺北縣,03001,01001
1998,D1-MT,宜蘭縣,03002,01002
1998,D1-MT,桃園縣,03003,01003
1998,D1-MT,新竹縣,03004,01004
1998,D1-MT,苗栗縣,03005,01005
1998,D1-MT,臺中縣,03006,01006
1998,D1-MT,彰化縣,03007,01007
1998,D1-MT,南投縣,03008,01008
1998,D1-MT,雲林縣,03009,01009
1998,D1-MT,嘉義縣,03010,01010
1998,D1-MT,臺南縣,03011,01011
1998,D1-MT,高雄縣,03012,01012
1998,D1-MT,屏東縣,03013,01013
1998,D1-MT,臺東縣,03014,01014
1998,D1-MT,花蓮縣,03015,01015
1998,D1-MT,澎湖縣,03016,01016
1998,D1-MT,金門縣,03017,01022
1998,D1-MT,連江縣,03018,01023
2002,D1-MT,臺北縣,03001,01001
2002,D1-MT,宜蘭縣,03002,01002
2002,D1-MT,桃園縣,03003,01003
2002,D1-MT,新竹縣,03004,01004
2002,D1-MT,苗栗縣,03005,01005
2002,D1-MT,臺中縣,03006,01006
2002,D1-MT,彰化縣,03007,01007
2002,D1-MT,南投縣,03008,01008
2002,D1-MT,雲林縣,03009,01009
2002,D1-MT,嘉義縣,03010,01010
2002,D1-MT,臺南縣,03011,01011
2002,D1-MT,高雄縣,03012,01012
2002,D1-MT,屏東縣,03013,01013
2002,D1-MT,臺東縣,03014,01014
2002,D1-MT,花蓮縣,03015,01015
2002,D1-MT,澎湖縣,03016,01016
2002,D1-MT,金門縣,04001,01022
2002,D1-MT,連江縣,04002,01023
