admin_code_system,省市,縣市,名稱,正規化_省市,正規化_縣市,正規化_名稱
1995-2008,01,000,臺北市,63,000,臺北市
1995-2008,02,000,高雄市,64,000,高雄市
1995-2008,03,001,臺北縣,65,000,新北市
1995-2008,03,002,宜蘭縣,10,002,宜蘭縣
1995-2008,03,003,桃園縣,68,000,桃園市
1995-2008,03,004,新竹縣,10,004,新竹縣
1995-2008,03,005,苗栗縣,10,005,苗栗縣
1995-2008,03,006,臺中縣,66,000,臺中市
1995-2008,03,007,彰化縣,10,007,彰化縣
1995-2008,03,008,南投縣,10,008,南投縣
1995-2008,03,009,雲林縣,10,009,雲林縣
1995-2008,03,010,嘉義縣,10,010,嘉義縣
1995-2008,03,011,臺南縣,67,000,臺南市
1995-2008,03,012,高雄縣,64,000,高雄市
1995-2008,03,013,屏東縣,10,013,屏東縣
1995-2008,03,014,臺東縣,10,014,臺東縣
1995-2008,03,015,花蓮縣,10,015,花蓮縣
1995-2008,03,016,澎湖縣,10,016,澎湖縣
1995-2008,03,017,基隆市,10,017,基隆市
1995-2008,03,018,新竹市,10,018,新竹市
1995-2008,03,019,臺中市,66,000,臺中市
1995-2008,03,020,嘉義市,10,020,嘉義市
1995-2008,03,021,臺南市,67,000,臺南市
1995-2008,04,001,金門縣,09,020,金門縣
1995-2008,04,002,連江縣,09,007,連江縣
2012,01,000,臺北市,63,000,臺北市
2012,02,000,新北市,65,000,新北市
2012,03,000,臺中市,66,000,臺中市
2012,04,000,臺南市,67,000,臺南市
2012,05,000,高雄市,64,000,高雄市
2012,06,001,宜蘭縣,10,002,宜蘭縣
2012,06,002,桃園縣,68,000,桃園市
2012,06,003,新竹縣,10,004,新竹縣
2012,06,004,苗栗縣,10,005,苗栗縣
2012,06,005,彰化縣,10,007,彰化縣
2012,06,006,南投縣,10,008,南投縣
2012,06,007,雲林縣,10,009,雲林縣
2012,06,008,嘉義縣,10,010,嘉義縣
2012,06,009,屏東縣,10,013,屏東縣
2012,06,010,臺東縣,10,014,臺東縣
2012,06,011,花蓮縣,10,015,花蓮縣
2012,06,012,澎湖縣,10,016,澎湖縣
2012,06,013,基隆市,10,017,基隆市
2012,06,014,新竹市,10,018,新竹市
2012,06,015,嘉義市,10,020,嘉義市
2012,07,001,金門縣,09,020,金門縣
2012,07,002,連江縣,09,007,連江縣
2016+,09,007,連江縣,09,007,連江縣
2016+,09,020,金門縣,09,020,金門縣
2016+,10,002,宜蘭縣,10,002,宜蘭縣
2016+,10,004,新竹縣,10,004,新竹縣
2016+,10,005,苗栗縣,10,005,苗栗縣
2016+,10,007,彰化縣,10,007,彰化縣
2016+,10,008,南投縣,10,008,南投縣
2016+,10,009,雲林縣,10,009,雲林縣
2016+,10,010,嘉義縣,10,010,嘉義縣
2016+,10,013,屏東縣,10,013,屏東縣
2016+,10,014,臺東縣,10,014,臺東縣
2016+,10,015,花蓮縣,10,015,花蓮縣
2016+,10,016,澎湖縣,10,016,澎湖縣
2016+,10,017,基隆市,10,017,基隆市
2016+,10,018,新竹市,10,018,新竹市
2016+,10,020,嘉義市,10,020,嘉義市
2016+,63,000,臺北市,63,000,臺北市
2016+,64,000,高雄市,64,000,高雄市
2016+,65,000,新北市,65,000,新北市
2016+,66,000,臺中市,66,000,臺中市
2016+,67,000,臺南市,67,000,臺南市
2016+,68,000,桃園市,68,000,桃園市
