屆別,選舉種類,縣市名稱,本地鄉鎮代碼,本地鄉鎮名稱,目標鄉鎮代碼,目標鄉鎮名稱
1998,T2,臺北縣,001,板橋市,001,板橋市
1998,T2,臺北縣,002,三重市,008,三重市
1998,T2,臺北縣,003,中和市,002,中和市
1998,T2,臺北縣,004,永和市,003,永和市
1998,T2,臺北縣,005,新莊市,010,新莊市
1998,T2,臺北縣,006,新店市,025,新店市
1998,T2,臺北縣,007,樹林市,004,樹林市
1998,T2,臺北縣,008,鶯歌鎮,005,鶯歌鎮
1998,T2,臺北縣,009,三峽鎮,006,三峽鎮
1998,T2,臺北縣,010,淡水鎮,014,淡水鎮
1998,T2,臺北縣,011,汐止市,018,汐止市
1998,T2,臺北縣,012,瑞芳鎮,021,瑞芳鎮
1998,T2,臺北縣,013,土城市,007,土城市
1998,T2,臺北縣,014,蘆洲市,009,蘆洲市
1998,T2,臺北縣,015,五股鄉,011,五股鄉
1998,T2,臺北縣,016,泰山鄉,012,泰山鄉
1998,T2,臺北縣,017,林口鄉,013,林口鄉
1998,T2,臺北縣,018,深坑鄉,026,深坑鄉
1998,T2,臺北縣,019,石碇鄉,027,石碇鄉
1998,T2,臺北縣,020,坪林鄉,028,坪林鄉
1998,T2,臺北縣,021,三芝鄉,015,三芝鄉
1998,T2,臺北縣,022,石門鄉,016,石門鄉
1998,T2,臺北縣,023,八里鄉,017,八里鄉
1998,T2,臺北縣,024,平溪鄉,022,平溪鄉
1998,T2,臺北縣,025,雙溪鄉,023,雙溪鄉
1998,T2,臺北縣,026,貢寮鄉,024,貢寮鄉
1998,T2,臺北縣,027,金山鄉,019,金山鄉
1998,T2,臺北縣,028,萬里鄉,020,萬里鄉
1998,T2,臺北縣,029,烏來鄉,029,烏來鄉
1998,T2,桃園縣,001,桃園市,001,桃園市
1998,T2,桃園縣,002,中壢市,008,中壢市
1998,T2,桃園縣,003,大溪鎮,006,大溪鎮
1998,T2,桃園縣,004,楊梅鎮,010,楊梅鎮
1998,T2,桃園縣,005,蘆竹鄉,004,蘆竹鄉
1998,T2,桃園縣,006,大園鄉,005,大園鄉
1998,T2,桃園縣,007,龜山鄉,002,龜山鄉
1998,T2,桃園縣,008,八德市,003,八德市
1998,T2,桃園縣,009,龍潭鄉,011,龍潭鄉
1998,T2,桃園縣,010,平鎮市,009,平鎮市
1998,T2,桃園縣,011,新屋鄉,012,新屋鄉
1998,T2,桃園縣,012,觀音鄉,013,觀音鄉
1998,T2,桃園縣,013,復興鄉,007,復興鄉
1998,T2,苗栗縣,001,苗栗市,001,苗栗市
1998,T2,苗栗縣,002,苑裡鎮,007,苑裡鎮
1998,T2,苗栗縣,003,通霄鎮,008,通霄鎮
1998,T2,苗栗縣,004,竹南鎮,009,竹南鎮
1998,T2,苗栗縣,005,頭份鎮,012,頭份鎮
1998,T2,苗栗縣,006,後龍鎮,010,後龍鎮
1998,T2,苗栗縣,007,卓蘭鎮,015,卓蘭鎮
1998,T2,苗栗縣,008,大湖鄉,016,大湖鄉
1998,T2,苗栗縣,009,公館鄉,002,公館鄉
1998,T2,苗栗縣,010,銅鑼鄉,004,銅鑼鄉
1998,T2,苗栗縣,011,南庄鄉,013,南庄鄉
1998,T2,苗栗縣,012,頭屋鄉,003,頭屋鄉
1998,T2,苗栗縣,013,三義鄉,005,三義鄉
1998,T2,苗栗縣,014,西湖鄉,006,西湖鄉
1998,T2,苗栗縣,015,造橋鄉,011,造橋鄉
1998,T2,苗栗縣,016,三灣鄉,014,三灣鄉
1998,T2,苗栗縣,017,獅潭鄉,017,獅潭鄉
1998,T2,苗栗縣,018,泰安鄉,018,泰安鄉
1998,T2,臺中縣,001,豐原市,001,豐原市
1998,T2,臺中縣,002,東勢鎮,006,東勢鎮
1998,T2,臺中縣,003,大甲鎮,010,大甲鎮
1998,T2,臺中縣,004,清水鎮,013,清水鎮
1998,T2,臺中縣,005,沙鹿鎮,014,沙鹿鎮
