屆別,省市,縣市,鄉鎮市區,山地鄉名,來源屆名稱,備註
1998,03,001,029,烏來區,烏來鄉,公告原文作「烏來區」
1998,03,003,013,復興鄉,復興鄉,
1998,03,004,012,尖石鄉,尖石鄉,
1998,03,004,013,五峰鄉,五峰鄉,
1998,03,005,018,泰安鄉,泰安鄉,
1998,03,006,021,和平區,和平鄉,公告原文作「和平區」
1998,03,008,012,信義鄉,信義鄉,
1998,03,008,013,仁愛鄉,仁愛鄉,
1998,03,010,018,阿里山鄉,阿里山鄉,
1998,03,012,026,桃源區,桃源鄉,公告原文作「桃源區」
1998,03,012,027,那瑪夏區,三民鄉,公告原文作「那瑪夏區」
1998,03,012,025,茂林區,茂林鄉,公告原文作「茂林區」
1998,03,013,026,三地門鄉,三地門鄉,
1998,03,013,028,瑪家鄉,瑪家鄉,
1998,03,013,027,霧台鄉,霧臺鄉,公告原文作「霧台鄉」
1998,03,013,033,牡丹鄉,牡丹鄉,
1998,03,013,030,來義鄉,來義鄉,
1998,03,013,029,泰武鄉,泰武鄉,
1998,03,013,031,春日鄉,春日鄉,
1998,03,013,032,獅子鄉,獅子鄉,
1998,03,014,015,達仁鄉,達仁鄉,
1998,03,014,014,金峰鄉,金峰鄉,
1998,03,014,013,延平鄉,延平鄉,
1998,03,014,012,海端鄉,海端鄉,
1998,03,014,016,蘭嶼鄉,蘭嶼鄉,
1998,03,015,013,卓溪鄉,卓溪鄉,
1998,03,015,011,秀林鄉,秀林鄉,
1998,03,015,012,萬榮鄉,萬榮鄉,
1998,03,002,011,大同鄉,大同鄉,
1998,03,002,012,南澳鄉,南澳鄉,
2002,03,001,029,烏來區,烏來鄉,公告原文作「烏來區」
2002,03,003,013,復興鄉,復興鄉,
2002,03,004,012,尖石鄉,尖石鄉,
2002,03,004,013,五峰鄉,五峰鄉,
2002,03,005,018,泰安鄉,泰安鄉,
2002,03,006,021,和平區,和平鄉,公告原文作「和平區」
2002,03,008,012,信義鄉,信義鄉,
2002,03,008,013,仁愛鄉,仁愛鄉,
2002,03,010,018,阿里山鄉,阿里山鄉,
2002,03,012,026,桃源區,桃源鄉,公告原文作「桃源區」
2002,03,012,027,那瑪夏區,三民鄉,公告原文作「那瑪夏區」
2002,03,012,025,茂林區,茂林鄉,公告原文作「茂林區」
2002,03,013,026,三地門鄉,三地門鄉,
2002,03,013,028,瑪家鄉,瑪家鄉,
2002,03,013,027,霧台鄉,霧臺鄉,公告原文作「霧台鄉」
2002,03,013,033,牡丹鄉,牡丹鄉,
2002,03,013,030,來義鄉,來義鄉,
2002,03,013,029,泰武鄉,泰武鄉,
2002,03,013,031,春日鄉,春日鄉,
2002,03,013,032,獅子鄉,獅子鄉,
2002,03,014,015,達仁鄉,達仁鄉,
2002,03,014,014,金峰鄉,金峰鄉,
2002,03,014,013,延平鄉,延平鄉,
2002,03,014,012,海端鄉,海端鄉,
2002,03,014,016,蘭嶼鄉,蘭嶼鄉,
2002,03,015,013,卓溪鄉,卓溪鄉,
2002,03,015,011,秀林鄉,秀林鄉,
2002,03,015,012,萬榮鄉,萬榮鄉,
2002,03,002,011,大同鄉,大同鄉,
2002,03,002,012,南澳鄉,南澳鄉,
2005,01,001,029,烏來區,烏來鄉,公告原文作「烏來區」
2005,01,003,007,復興鄉,復興鄉,
2005,01,004,012,尖石鄉,尖石鄉,
2005,01,004,013,五峰鄉,五峰鄉,
2005,01,005,018,泰安鄉,泰安鄉,
2005,01,006,021,和平區,和平鄉,公告原文作「和平區」
2005,01,008,012,信義鄉,信義鄉,
2005,01,008,013,仁愛鄉,仁愛鄉,
2005,01,010,018,阿里山鄉,阿里山鄉,
2005,01,012,026,桃源區,桃源鄉,公告原文作「桃源區」
2005,01,012,027,那瑪夏區,三民鄉,公告原文作「那瑪夏區」
2005,01,012,025,茂林區,茂林鄉,公告原文作「茂林區」
2005,01,013,026,三地門鄉,三地門鄉,
2005,01,013,028,瑪家鄉,瑪家鄉,
2005,01,013,027,霧台鄉,霧臺鄉,公告原文作「霧台鄉」
2005,01,013,033,牡丹鄉,牡丹鄉,
2005,01,013,030,來義鄉,來義鄉,
2005,01,013,029,泰武鄉,泰武鄉,
2005,01,013,031,春日鄉,春日鄉,
2005,01,013,032,獅子鄉,獅子鄉,
2005,01,014,015,達仁鄉,達仁鄉,
2005,01,014,014,金峰鄉,金峰鄉,
2005,01,014,013,延平鄉,延平鄉,
2005,01,014,012,海端鄉,海端鄉,
2005,01,014,016,蘭嶼鄉,蘭嶼鄉,
2005,01,015,013,卓溪鄉,卓溪鄉,
2005,01,015,003,秀林鄉,秀林鄉,
2005,01,015,009,萬榮鄉,萬榮鄉,
2005,01,002,011,大同鄉,大同鄉,
2005,01,002,012,南澳鄉,南澳鄉,
2009-2010,03,003,007,復興鄉,復興鄉,
2009-2010,03,004,012,尖石鄉,尖石鄉,
2009-2010,03,004,013,五峰鄉,五峰鄉,
2009-2010,03,005,018,泰安鄉,泰安鄉,
2009-2010,03,008,012,信義鄉,信義鄉,
2009-2010,03,008,013,仁愛鄉,仁愛鄉,
2009-2010,03,010,018,阿里山鄉,阿里山鄉,
2009-2010,03,013,032,三地門鄉,三地門鄉,
2009-2010,03,013,026,瑪家鄉,瑪家鄉,
2009-2010,03,013,033,霧台鄉,霧臺鄉,公告原文作「霧台鄉」
2009-2010,03,013,031,牡丹鄉,牡丹鄉,
2009-2010,03,013,028,來義鄉,來義鄉,
2009-2010,03,013,027,泰武鄉,泰武鄉,
2009-2010,03,013,029,春日鄉,春日鄉,
2009-2010,03,013,030,獅子鄉,獅子鄉,
2009-2010,03,014,015,達仁鄉,達仁鄉,
2009-2010,03,014,014,金峰鄉,金峰鄉,
2009-2010,03,014,013,延平鄉,延平鄉,
2009-2010,03,014,012,海端鄉,海端鄉,
2009-2010,03,014,016,蘭嶼鄉,蘭嶼鄉,
2009-2010,03,015,013,卓溪鄉,卓溪鄉,
2009-2010,03,015,003,秀林鄉,秀林鄉,
2009-2010,03,015,009,萬榮鄉,萬榮鄉,
2009-2010,03,002,011,大同鄉,大同鄉,
2009-2010,03,002,012,南澳鄉,南澳鄉,
2014,10,004,120,尖石鄉,尖石鄉,
2014,10,004,130,五峰鄉,五峰鄉,
2014,10,005,180,泰安鄉,泰安鄉,
2014,10,008,120,信義鄉,信義鄉,
2014,10,008,130,仁愛鄉,仁愛鄉,
2014,10,010,180,阿里山鄉,阿里山鄉,
2014,10,013,260,三地門鄉,三地門鄉,
2014,10,013,280,瑪家鄉,瑪家鄉,
2014,10,013,270,霧台鄉,霧臺鄉,公告原文作「霧台鄉」
2014,10,013,330,牡丹鄉,牡丹鄉,
2014,10,013,300,來義鄉,來義鄉,
2014,10,013,290,泰武鄉,泰武鄉,
2014,10,013,310,春日鄉,春日鄉,
2014,10,013,320,獅子鄉,獅子鄉,
2014,10,014,150,達仁鄉,達仁鄉,
2014,10,014,140,金峰鄉,金峰鄉,
2014,10,014,130,延平鄉,延平鄉,
2014,10,014,120,海端鄉,海端鄉,
2014,10,014,160,蘭嶼鄉,蘭嶼鄉,
2014,10,015,130,卓溪鄉,卓溪鄉,
2014,10,015,110,秀林鄉,秀林鄉,
2014,10,015,120,萬榮鄉,萬榮鄉,
2014,10,002,110,大同鄉,大同鄉,
2014,10,002,120,南澳鄉,南澳鄉,
2018,10,004,120,尖石鄉,尖石鄉,
2018,10,004,130,五峰鄉,五峰鄉,
2018,10,005,180,泰安鄉,泰安鄉,
2018,10,008,120,信義鄉,信義鄉,
2018,10,008,130,仁愛鄉,仁愛鄉,
2018,10,010,180,阿里山鄉,阿里山鄉,
2018,10,013,260,三地門鄉,三地門鄉,
2018,10,013,280,瑪家鄉,瑪家鄉,
2018,10,013,270,霧台鄉,霧臺鄉,公告原文作「霧台鄉」
2018,10,013,330,牡丹鄉,牡丹鄉,
2018,10,013,300,來義鄉,來義鄉,
2018,10,013,290,泰武鄉,泰武鄉,
2018,10,013,310,春日鄉,春日鄉,
2018,10,013,320,獅子鄉,獅子鄉,
2018,10,014,150,達仁鄉,達仁鄉,
2018,10,014,140,金峰鄉,金峰鄉,
2018,10,014,130,延平鄉,延平鄉,
2018,10,014,120,海端鄉,海端鄉,
2018,10,014,160,蘭嶼鄉,蘭嶼鄉,
2018,10,015,130,卓溪鄉,卓溪鄉,
2018,10,015,110,秀林鄉,秀林鄉,
2018,10,015,120,萬榮鄉,萬榮鄉,
2018,10,002,110,大同鄉,大同鄉,
2018,10,002,120,南澳鄉,南澳鄉,
2022,10,004,120,尖石鄉,尖石鄉,
2022,10,004,130,五峰鄉,五峰鄉,
2022,10,005,180,泰安鄉,泰安鄉,
2022,10,008,120,信義鄉,信義鄉,
2022,10,008,130,仁愛鄉,仁愛鄉,
2022,10,010,180,阿里山鄉,阿里山鄉,
2022,10,013,260,三地門鄉,三地門鄉,
2022,10,013,280,瑪家鄉,瑪家鄉,
2022,10,013,270,霧台鄉,霧臺鄉,公告原文作「霧台鄉」
2022,10,013,330,牡丹鄉,牡丹鄉,
2022,10,013,300,來義鄉,來義鄉,
2022,10,013,290,泰武鄉,泰武鄉,
2022,10,013,310,春日鄉,春日鄉,
2022,10,013,320,獅子鄉,獅子鄉,
2022,10,014,150,達仁鄉,達仁鄉,
2022,10,014,140,金峰鄉,金峰鄉,
2022,10,014,130,延平鄉,延平鄉,
2022,10,014,120,海端鄉,海端鄉,
2022,10,014,160,蘭嶼鄉,蘭嶼鄉,
