類別,縣市_公告原文,鄉鎮市區_公告原文,生效起,生效迄,生效迄_依據,改制後身分,出處
山地鄉,新北市,烏來區,2002-04-16,2010,五都改制為直轄市之區；確切改制日期本次未查證,直轄市山地原住民區,行政院91.4.16院臺疆字第0910017300號函
山地鄉,桃園縣,復興鄉,2002-04-16,2014,桃園升格為直轄市；本專案資料自2014屆起以D2記錄該區,直轄市山地原住民區,行政院91.4.16院臺疆字第0910017300號函
山地鄉,新竹縣,尖石鄉,2002-04-16,,,仍為山地鄉,行政院91.4.16院臺疆字第0910017300號函
山地鄉,新竹縣,五峰鄉,2002-04-16,,,仍為山地鄉,行政院91.4.16院臺疆字第0910017300號函
山地鄉,苗栗縣,泰安鄉,2002-04-16,,,仍為山地鄉,行政院91.4.16院臺疆字第0910017300號函
山地鄉,臺中市,和平區,2002-04-16,2010,五都改制為直轄市之區；確切改制日期本次未查證,直轄市山地原住民區,行政院91.4.16院臺疆字第0910017300號函
山地鄉,南投縣,信義鄉,2002-04-16,,,仍為山地鄉,行政院91.4.16院臺疆字第0910017300號函
山地鄉,南投縣,仁愛鄉,2002-04-16,,,仍為山地鄉,行政院91.4.16院臺疆字第0910017300號函
山地鄉,嘉義縣,阿里山鄉,2002-04-16,,,仍為山地鄉,行政院91.4.16院臺疆字第0910017300號函
山地鄉,高雄市,桃源區,2002-04-16,2010,五都改制為直轄市之區；確切改制日期本次未查證,直轄市山地原住民區,行政院91.4.16院臺疆字第0910017300號函
山地鄉,高雄市,那瑪夏區,2002-04-16,2010,五都改制為直轄市之區；確切改制日期本次未查證,直轄市山地原住民區,行政院91.4.16院臺疆字第0910017300號函
山地鄉,高雄市,茂林區,2002-04-16,2010,五都改制為直轄市之區；確切改制日期本次未查證,直轄市山地原住民區,行政院91.4.16院臺疆字第0910017300號函
山地鄉,屏東縣,三地門鄉,2002-04-16,,,仍為山地鄉,行政院91.4.16院臺疆字第0910017300號函
山地鄉,屏東縣,瑪家鄉,2002-04-16,,,仍為山地鄉,行政院91.4.16院臺疆字第0910017300號函
山地鄉,屏東縣,霧台鄉,2002-04-16,,,仍為山地鄉,行政院91.4.16院臺疆字第0910017300號函
山地鄉,屏東縣,牡丹鄉,2002-04-16,,,仍為山地鄉,行政院91.4.16院臺疆字第0910017300號函
山地鄉,屏東縣,來義鄉,2002-04-16,,,仍為山地鄉,行政院91.4.16院臺疆字第0910017300號函
山地鄉,屏東縣,泰武鄉,2002-04-16,,,仍為山地鄉,行政院91.4.16院臺疆字第0910017300號函
山地鄉,屏東縣,春日鄉,2002-04-16,,,仍為山地鄉,行政院91.4.16院臺疆字第0910017300號函
山地鄉,屏東縣,獅子鄉,2002-04-16,,,仍為山地鄉,行政院91.4.16院臺疆字第0910017300號函
山地鄉,臺東縣,達仁鄉,2002-04-16,,,仍為山地鄉,行政院91.4.16院臺疆字第0910017300號函
山地鄉,臺東縣,金峰鄉,2002-04-16,,,仍為山地鄉,行政院91.4.16院臺疆字第0910017300號函
